questID,questName
111,万年吊车尾
112,猪突猛进
113,河马的飞天术
121,红兔子的执念
122,独眼怪修行
123,火焰之主
131,蓝兔子的执念
132,雪怪传说
133,冰雪之主
141,绿兔子的执念
142,飞天河马再出手
143,暴风之主
151,黄兔子巡逻兵
152,猴子小队长
153,雷电之主
161,紫兔子巡逻兵
162,长舌中队长
163,暗影之主
171,灰兔子巡逻兵
172,大脚督查
173,大地之主
211,红兔子夹击
212,恐怖大眼
213,火焰的恶意
214,吸血鬼的管家
215,烈火猛攻
221,蓝兔子夹击
222,雪山怪影
223,冰雪的恶意
224,老女人的美容术
225,寒冰猛攻
231,绿兔子夹击
232,巨嘴飞翔
233,阴风的恶意
234,妖精爱偷梦
235,暴风猛攻
241,黄兔子夹击
242,恶作剧之王
243,闪电的恶意
244,人造新娘
245,雷暴猛攻
251,紫兔子夹击
252,滑滑大长舌
253,黑夜的恶意
254,女仆也疯狂
255,暗影猛攻
261,灰兔子夹击
262,大脚来袭
263,岩石的恶意
264,魔法见习生
265,大地猛攻
271,兔子围攻计划
272,第一次集体任务
273,少年龙的修行场
274,各怀鬼胎的魔女
275,青年龙格斗会
311,天生的战斗猛兽
312,恶魔管家术
313,怒涛撕咬
314,凶暴地狱火
315,天火王者降临
321,天生的狩猎专家
322,魔药试炼师
323,无尽勇气
324,深海死神
325,冰川王者降临
331,天生的刺客大师
332,夜梦的盗贼
333,刺客作战会
334,不死魔头
335,风暴王者降临
341,天生的战场护卫
342,新娘的泪水
343,护卫忠诚心
344,嗜血魔骑士
345,雷电王者降临
351,天生的绅士守卫
352,女仆碎碎念
353,守卫服从心
354,愤怒化身
355,黑夜王者降临
361,天生的东方神犬
362,魔法见习期中考
363,神犬敌对心
364,地狱獠牙
365,大地王者降临
371,猛兽角斗场
372,临时统一战线
373,嗜血回忆录
374,灾祸狂怒
375,獠牙下的血口
411,熔岩地牢
412,嚣张的小鬼
413,撕咬三重奏
414,管家的怒火
415,烈焰地狱
421,魅惑海妖
422,烦人的跳蚤
423,狩猎三重奏
424,沸腾的药剂
425,死亡缠绕
431,遮天巨树
432,史莱姆重生
433,暗杀三重奏
434,偷梦的缘由
435,魔蛇狂袭
441,耀眼妖花
442,稻草人之计
443,血战的忠诚
444,冰冷的心脏
445,腥风血雨
451,暗影蝙蝠
452,幽灵徘徊
453,死战的服从
454,女仆暴动
455,通天怒吼
461,丧钟魔音
462,爱唬人的怪石头
463,神犬怒嚎
464,魔法见习期末考
465,无坚不摧
471,猛兽护城队
472,地狱狂屠
473,猛兽攻城队
474,一反常态的魔女
475,报丧魔爪
511,红兔子特攻队
512,小鬼的火气
513,食人魔厨
514,管家拿手活
515,炸弹魔
521,蓝兔子特攻队
522,跳蚤的动力源
523,水中魔手
524,药罐大爆炸
525,冰雪亡灵
531,绿兔子特攻队
532,不屈的史莱姆
533,杀人工程师
534,万千梦境
535,死亡芭蕾
541,黄兔子特攻队
542,求心的稻草人
543,猎豹突袭
544,新娘大暴走
545,闪电十字斩
551,紫兔子特攻队
552,尖啸的幽灵
553,暗夜毒针
554,女仆的黑暗面
555,千年军团
561,灰兔子特攻队
562,飞翔的怪石
563,狼人乱舞
564,魔法见习演练场
565,无头骑士
571,卷土重来的兔子
572,下级恶魔的反击
573,猪突猛进三倍速
574,狂暴飞猴
575,女仆大卧底